,Unnamed: 0,FacultyID,DepartmentCode,EntryTypeID,TCAS,HomeRegion,SchoolRegionNameEng,EntryGPA,GPAX,GPA_Eng,GPA_Math,GPA_Sci,GPA_Sco,Q1,Q3,Q4,Q5,Q6,Q8,Q9,Q12,Q13,Q19,Q20,Q21,Q23,Q24,Q25,Q26,Q27,Q28,Q30,Q31,Q32,Q33,Status
33,52,10,1006,29,1,0,0,3.58,3.57,4,2.2,2.82,3.62,1,1,1,0,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,MFU student
34,54,10,1006,20,5,0,0,3.6,3.6,3.81,2.41,3.75,3.26,1,0,0,1,1,0,0,0,0,1,0,1,0,0,1,1,1,0,1,0,0,1,MFU student
35,55,10,1006,20,5,0,0,3.07,3.07,3.88,3.08,2.31,3.34,1,1,1,1,1,0,0,1,0,1,0,1,0,0,0,1,0,0,1,0,1,1,MFU student
36,58,10,1006,20,5,1,1,3.5,3.5,3.82,2.16,3.16,3.34,0,0,1,1,0,0,0,1,1,1,1,0,0,0,0,1,1,0,0,0,1,0,MFU student
37,61,10,1006,20,5,0,0,3.3,3.3,3.23,2,3.14,3.31,1,1,0,0,1,0,0,1,1,0,1,0,0,0,1,1,1,0,1,0,0,1,MFU student
38,62,10,1006,20,5,1,1,3,3,2.86,2.5,3.2,3.02,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,1,0,0,1,MFU student
39,64,10,1006,20,5,0,0,3.31,3.31,3.41,2.16,3.41,3.8,1,1,1,1,1,1,1,0,0,1,1,1,0,0,1,1,1,0,1,1,0,0,MFU student
40,65,10,1006,20,5,0,0,3.253043206,2.98,3.3,1.38,1.88,2.75,0,1,1,1,0,0,0,1,0,1,0,1,0,1,0,1,1,0,0,0,1,1,MFU student
41,67,10,1006,20,5,1,1,3.15,3.15,3.77,2.69,2.67,3.7,0,1,0,0,1,0,1,0,0,1,1,0,1,0,1,1,1,1,1,1,0,0,MFU student
42,68,10,1006,20,5,0,0,2.71,2.71,2.22,2.08,2.63,3.2,1,1,1,1,1,0,0,0,0,1,0,0,0,0,1,1,1,0,1,1,0,1,MFU student
43,69,10,1006,20,5,0,0,2.6,2.88,3.03,2.28,2.57,3.45,0,0,1,0,1,0,1,0,0,1,0,0,0,1,1,1,1,1,1,1,0,0,MFU student
44,70,10,1006,20,5,0,0,3.253043206,3.02,3.46,2.88,2.47,3.36,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,0,1,0,0,0,MFU student
45,73,10,1006,20,5,1,1,3.86,3.86,3.87,3.81,3.8,4,1,1,1,1,1,0,0,0,0,1,1,0,0,1,1,1,1,0,1,1,0,0,MFU student
46,74,10,1006,20,5,0,0,3.23,3.23,3.25,2.25,3.25,3.31,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,MFU student
47,75,10,1006,20,5,0,0,3.253043206,3.52,3.51,2.33,3.16,3.63,0,0,1,1,0,0,0,1,0,0,1,1,0,1,1,1,0,0,0,0,1,0,MFU student
48,76,10,1006,20,5,0,0,3.32,3.32,3.48,2.68,3.15,3.28,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,MFU student
49,77,10,1006,20,5,1,1,3.02,3.02,3.33,2.75,2.47,3.5,1,1,1,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,MFU student
50,79,11,1102,52,1,0,0,3.253043206,3.23,3.91,2.73,2.69,3.59,0,0,1,0,1,0,1,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,MFU student
51,82,11,1102,29,1,0,0,3.65,3.66,3.7,3.26,3.58,3.96,0,0,1,0,1,1,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,MFU student
52,83,11,1102,11,1,0,0,3.1,3.07,3.82,2.15,2.57,3.83,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,1,MFU student
53,84,11,1102,52,1,0,0,3.14,3.19,3.5,2.7,2.86,3.45,0,0,1,1,1,0,0,0,1,1,1,0,0,1,1,0,1,1,1,0,0,0,MFU student
54,86,11,1102,11,2,1,1,2.82,2.82,3.17,2.4,2.3,3.22,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,MFU student
55,88,11,1102,11,1,0,0,3.21,3.13,2.92,2.48,2.87,3.53,1,1,1,0,0,0,1,0,1,1,1,0,0,1,1,1,0,1,1,0,0,0,MFU student
56,89,11,1102,11,2,1,1,2.36,2.34,1.75,2.01,2.31,2.92,1,1,1,1,0,0,0,0,1,1,1,0,0,1,0,1,0,0,0,0,1,1,MFU student
57,90,11,1102,11,2,0,0,3.11,3.05,3.51,2.3,2.77,3.25,0,1,0,0,1,0,0,0,1,1,1,0,0,0,1,0,1,0,0,1,1,0,MFU student
58,91,11,1102,11,1,0,0,3.53,3.48,2.84,3.68,3.47,3.7,1,0,1,0,1,0,1,0,1,0,1,0,0,0,0,1,1,0,0,1,1,1,MFU student
59,92,11,1102,10,2,1,1,3.12,3.12,2.84,2.06,3.13,3.66,0,1,1,0,0,0,1,0,1,1,0,0,1,1,1,1,1,1,1,1,1,1,MFU student
60,93,11,1102,52,1,0,0,3.76,3.74,3.83,4,3.66,3.63,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,1,0,0,MFU student
61,96,11,1102,10,2,0,1,3.253043206,3.19,3.16,2.17,3.56,3.55,1,0,1,0,0,0,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,MFU student
62,98,11,1102,52,1,1,1,3.14,3.66,3.55,3.23,3.62,3.79,1,0,1,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,MFU student
63,100,11,1102,20,5,1,1,2.99,3.01,3.77,2.4,2.37,3.28,0,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,MFU student
64,101,11,1102,20,5,0,0,3.17,3.17,3.16,2.6,2.95,3.68,1,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,1,0,0,MFU student
65,102,11,1102,20,5,0,0,3.42,3.42,3.75,3.47,3.13,3.52,1,0,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0,1,1,0,0,1,MFU student
66,103,11,1102,29,5,0,0,3.84,3.84,3.62,3.85,3.92,3.75,1,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,1,0,0,0,MFU student
67,104,11,1102,29,5,0,1,3.253043206,2.55,2.45,1.98,2.23,3.17,1,1,1,0,1,1,0,1,0,0,1,0,0,1,1,1,1,1,1,1,0,0,MFU student
68,105,11,1102,29,5,0,0,3.5,3.5,3.51,3.01,3.41,3.84,0,0,0,1,1,0,0,0,1,1,1,0,0,1,1,1,1,0,1,1,0,0,MFU student
69,106,11,1102,29,5,1,1,3.43,3.43,3.64,3.66,2.98,3.38,1,1,1,0,1,0,1,0,0,1,1,1,1,0,1,0,1,1,0,1,0,1,MFU student
70,108,11,1105,11,1,0,0,3.13,3.09,2.87,3.04,2.67,3.41,1,1,1,0,0,0,0,0,1,0,0,0,0,1,1,0,1,0,1,0,0,0,MFU student
71,110,11,1105,29,1,0,0,3.253043206,3.07,2.68,3.02,2.79,3.69,1,0,1,0,1,0,0,0,0,1,0,1,0,1,1,1,1,1,1,1,0,0,MFU student
72,111,11,1105,11,2,0,0,2.94,2.88,3.11,2.83,2.09,3.66,1,1,1,1,1,0,0,0,1,1,1,0,0,0,1,1,1,1,1,1,1,0,MFU student
